id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
martj006,Martinez,J. D.,R,R,NLS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20230711,20230711,2023
martj010,Marte,Jose,R,R,ANA,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20230903,20230926,2023
martj011,Martinez,Justin,R,R,ARI,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20230707,20231001,2023
martj012,Martinez,J. P.,L,L,TEX,17,0,0,0,0,0,0,0,0,4,2,4,10,3,4,3,20230811,20230905,2023
martk001,Marte,Ketel,B,R,ARI,167,0,0,0,0,0,162,0,1,0,2,0,2,5,5,0,20230330,20231101,2023
martn002,Martinez,Nick,L,R,SDN,63,63,9,54,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20230929,2023
martn003,Martini,Nick,L,L,CIN,29,0,0,0,0,4,0,0,0,13,0,4,16,9,12,0,20230823,20231001,2023
martn004,Marte,Noelvi,R,R,CIN,35,0,0,0,0,0,1,29,4,0,0,0,0,2,1,2,20230819,20231001,2023
marts002,Marte,Starling,R,R,NYN,86,0,0,0,0,0,0,0,0,0,1,84,85,0,1,2,20230330,20230805,2023
marts003,Martinez,Seth,R,R,HOU,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20230823,2023
marty001,Marte,Yunior,R,R,PHI,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230919,2023
massm001,Massey,Michael,L,R,KCA,129,0,0,0,0,0,118,0,0,0,0,0,0,9,13,0,20230330,20231001,2023
mastm001,Mastrobuoni,Miles,L,R,CHN,61,1,0,1,0,0,7,29,4,1,0,6,7,6,10,8,20230330,20231001,2023
matej003,Mateo,Jorge,R,R,BAL,119,0,0,0,0,0,0,0,113,0,4,0,4,2,4,9,20230330,20231010,2023
mathm002,Mathias,Mark,R,R,PIT,22,0,0,0,0,0,15,0,0,0,0,2,2,2,4,0,20230410,20230617,2023
mathm002,Mathias,Mark,R,R,SFN,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,20230807,20230813,2023
matol002,Matos,Luis,R,R,SFN,76,0,0,0,0,0,0,0,0,14,57,15,73,2,7,0,20230614,20230930,2023
maton001,Maton,Nick,L,R,DET,93,0,0,0,0,0,30,53,4,0,0,0,0,13,19,2,20230330,20230818,2023
matop002,Maton,Phil,R,R,HOU,74,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20231023,2023
matzs001,Matz,Steven,R,L,SLN,25,25,17,8,0,0,0,0,0,0,0,0,0,0,0,0,20230404,20230812,2023
maurr002,Mauricio,Ronny,B,R,NYN,26,0,0,0,0,0,21,5,2,0,0,0,0,0,0,0,20230901,20231001,2023
may-d003,May,Dustin,R,R,LAN,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20230517,2023
may-t001,May,Trevor,R,R,OAK,49,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230930,2023
mayem001,Mayers,Mike,R,R,KCA,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,20230517,20230617,2023
mayzt001,Mayza,Tim,L,L,TOR,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20231003,2023
mcalz001,McAllister,Zach,R,R,NYA,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20230912,20230929,2023
mcarj001,McArthur,James,R,R,KCA,18,18,2,16,0,0,0,0,0,0,0,0,0,0,0,0,20230628,20231001,2023
mccad002,McCaughan,Darren,R,R,SEA,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20230417,20230821,2023
